# VELOCITY:     AVE_POFV:        ERROR:
       1.275    0.451338   0.0249608
       1.425    0.530505   0.0239455
       1.575    0.500735   0.0249089
       1.725    0.529369   0.0191634
       1.875    0.453993   0.0188168
       2.025    0.419363   0.0182941
       2.175    0.354049   0.0161682
       2.325    0.354509    0.016718
       2.475    0.342076   0.0338846
       2.625    0.307938   0.0282859
       2.775    0.273695   0.0190756
       2.925    0.204299   0.0167044
       3.075    0.196094   0.0124276
       3.225    0.111978   0.0110629
       3.375    0.114102   0.0132006
       3.525   0.0777189   0.0106372
       3.675   0.0634315  0.00707639
       3.825   0.0439198  0.00565283
       3.975   0.0241639  0.00429678
       4.125   0.0171605  0.00504744
       4.275  0.00697811   0.0025372
       4.425  0.00444164  0.00186781
       4.575  0.00222783  0.00120283
       4.725  0.00104938 0.000783778
       4.875 0.000594837 0.000458487
       5.025 0.000258137 0.000175163
       5.175  0.00020202 0.000157636
       5.325           0           0
       5.475           0           0
       5.625           0           0
       5.775           0           0
       5.925           0           0

       0.075  0.00205582  0.00085447
       0.225   0.0198175  0.00372425
       0.375   0.0588164  0.00669372
       0.525    0.125099    0.011784
       0.675    0.178408    0.011399
       0.825    0.213663   0.0156601
       0.975    0.306881   0.0200318
       1.125    0.381498   0.0203035
       1.275    0.450365   0.0238945
       1.425    0.527034   0.0231545
       1.575    0.499436   0.0238598
       1.725    0.526908   0.0184875
       1.875    0.458604   0.0185552
       2.025    0.419181   0.0174996
       2.175    0.358685   0.0161162
       2.325    0.362002   0.0175904
       2.475    0.342246   0.0324118
       2.625    0.306779   0.0270798
       2.775    0.268097     0.01905
       2.925    0.206291   0.0160965
       3.075    0.198089   0.0120463
       3.225    0.109286   0.0109045
